Feature,Importance
demand_mw,1555
diff_1h,980
lag_1h,680
load_shedding,376
diff_24h,285
gas,141
lag_24h,106
rolling_std_24h,97
hour_sin,91
liquid_fuel,88
lag_2h,87
india_tripura,57
lag_3h,56
rolling_std_168h,44
rolling_std_48h,44
lag_6h,41
coal,40
rolling_mean_24h,38
ema_24h,37
lag_72h,36
lag_12h,33
india_bheramara_hvdc,30
ema_168h,22
same_hour_yesterday,22
rolling_mean_48h,18
hour,18
lag_48h,18
hydro,17
rolling_mean_168h,14
month,12
hour_cos,12
day_cos,8
lag_168h,8
day_of_month,8
day_of_week,5
same_hour_last_week,4
day_sin,1
solar,1
wind,0
india_adani,0
is_weekend,0
nepal,0
